bcrlb_$10\ \mu\text{rad}$,bcrlb_$1\ \mu\text{rad}$,bcrlb_$3\ \mu\text{rad}$,capacity,ibo,rmse_sim_$10\ \mu\text{rad}$,rmse_sim_$1\ \mu\text{rad}$,rmse_sim_$3\ \mu\text{rad}$
656.4929217571363,68.77271559612835,199.7964008653467,15.009840625390622,20.0,1000.0,1000.0,1000.0
663.2057987850857,69.47594143051127,201.83939116298802,15.588534552173748,18.214285714285715,1000.0,1000.0,1000.0
673.4649963739209,70.55067179641803,204.961665122181,16.159999140730335,16.428571428571427,1000.0,1000.0,1000.0
689.2504066192274,72.20431571760756,209.76578112811075,16.720723163410177,14.642857142857142,1000.0,1000.0,1000.0
713.7933622899894,74.77538031603144,217.2351597720159,17.26561604029695,12.857142857142858,1000.0,1000.0,1000.0
752.5779554210015,78.83836668573286,229.03882415249845,17.787439880602864,11.071428571428571,1000.0,1000.0,1000.0
815.4711722920931,85.42691802185507,248.17968303037628,18.27619816855233,9.285714285714285,1000.0,1000.0,1000.0
921.8557972987871,96.5715310358183,280.55667367159197,18.71866338356802,7.5,1000.0,1000.0,1000.0
1115.3323706042268,116.83969983014393,339.4391409718335,19.09839881531289,5.7142857142857135,1000.0,1000.0,1000.0
1518.4512947975345,159.06952776301313,462.1239521940451,19.396780096703413,3.928571428571427,1000.0,1000.0,1000.0
2661.048254194965,278.76540432986945,809.8607709191068,19.595434480300504,2.1428571428571423,1000.0,1000.0,1000.0
15658.864748738395,1640.3873008116666,4765.603275753702,19.679927125460004,0.35714285714285765,1000.0,1000.0,1000.0
3947.7331780470076,413.5556105867984,1201.4491769984018,19.643514678482777,-1.4285714285714306,1000.0,1000.0,1000.0
1817.5579150996589,190.4032616834058,553.153762616703,19.489149761794696,-3.2142857142857153,1000.0,1000.0,1000.0
1238.6924495052126,129.76262304987455,376.9824243158231,19.228583891044035,-5.0,1000.0,1000.0,1000.0
