diameter_mm,pd
1.0,0.0
1.3894954943731377,0.0
1.93069772888325,0.0
2.6826957952797255,0.0
3.72759372031494,0.0
5.17947467923121,0.005
7.196856730011519,0.0
10.0,0.0
13.894954943731374,0.0
19.306977288832496,0.0
26.826957952797244,0.0
37.2759372031494,0.0
51.7947467923121,0.0
71.96856730011517,0.005
100.0,0.0
