v,pd
100.0,0.0
145.97743028861672,0.05
213.09410153667977,0.05
311.0692935198609,0.05
454.0909610972475,0.05
662.8703161826442,0.05
967.6410537094537,0.05
1412.537544622754,0.05
2061.986009502219,0.05
3010.034189582135,0.05
4393.97056076079,0.05
6414.205312236924,0.05
9363.292088239417,0.05
13668.293180829274,0.05
19952.62314968879,0.055
