pfa_glrt,pd_glrt,pfa_ed,pd_ed
0.0495,0.05,0.768,0.774
0.047,0.0475,0.761,0.766
0.0465,0.0465,0.758,0.762
0.0435,0.0445,0.755,0.759
0.043,0.043,0.7525,0.754
0.0425,0.043,0.7485,0.75
0.041,0.0415,0.7435,0.747
0.0405,0.0405,0.7385,0.741
0.0405,0.0405,0.7345,0.7375
0.0395,0.04,0.731,0.7355
0.039,0.039,0.727,0.7315
0.0385,0.0385,0.7205,0.724
0.038,0.038,0.7145,0.7175
0.037,0.037,0.7095,0.713
0.036,0.037,0.7075,0.7045
0.036,0.036,0.7,0.701
0.036,0.036,0.695,0.6955
0.036,0.036,0.6895,0.6935
0.0355,0.0355,0.685,0.686
0.0355,0.0355,0.6775,0.679
0.034,0.0345,0.6705,0.6725
0.0335,0.034,0.6655,0.669
0.0335,0.0335,0.66,0.665
0.0325,0.033,0.655,0.6585
0.032,0.032,0.651,0.653
0.0305,0.0305,0.643,0.651
0.03,0.0305,0.637,0.646
0.0295,0.0295,0.632,0.6345
0.029,0.0285,0.6275,0.629
0.028,0.0285,0.6225,0.625
0.028,0.028,0.6165,0.6205
0.027,0.027,0.6115,0.614
0.027,0.027,0.6075,0.611
0.027,0.027,0.603,0.606
0.027,0.0265,0.598,0.602
0.026,0.026,0.5925,0.594
0.026,0.026,0.5865,0.5865
0.0255,0.0255,0.5775,0.582
0.0245,0.0245,0.5705,0.5745
0.024,0.0245,0.563,0.568
0.024,0.024,0.561,0.5615
0.024,0.024,0.5535,0.555
0.024,0.024,0.547,0.549
0.024,0.024,0.541,0.5435
0.024,0.024,0.537,0.54
0.024,0.024,0.5315,0.5325
0.0235,0.0235,0.5265,0.5265
0.0235,0.0235,0.5195,0.5225
0.023,0.023,0.5165,0.52
0.023,0.023,0.511,0.515
0.023,0.0225,0.5075,0.5095
0.0225,0.0225,0.5005,0.506
0.022,0.022,0.4975,0.5015
0.022,0.0215,0.4915,0.492
0.021,0.021,0.485,0.4865
0.0205,0.0205,0.4765,0.4815
0.0205,0.02,0.468,0.4725
0.0195,0.0195,0.462,0.4645
0.0195,0.0195,0.4595,0.4575
0.0195,0.0195,0.4515,0.451
0.019,0.019,0.447,0.447
0.019,0.019,0.4385,0.4425
0.0185,0.0185,0.433,0.437
0.0185,0.0185,0.43,0.4335
0.018,0.018,0.4265,0.4295
0.018,0.018,0.421,0.426
0.0175,0.017,0.4145,0.4185
0.016,0.016,0.4115,0.414
0.016,0.016,0.409,0.4095
0.016,0.016,0.4025,0.4055
0.016,0.0155,0.398,0.4015
0.0155,0.015,0.395,0.397
0.015,0.015,0.3905,0.392
0.015,0.015,0.386,0.387
0.0145,0.0145,0.378,0.3825
0.0145,0.0145,0.3715,0.3755
0.014,0.014,0.362,0.3675
0.014,0.014,0.356,0.3625
0.0135,0.0135,0.352,0.3555
0.0135,0.0135,0.3475,0.351
0.0135,0.0135,0.342,0.3435
0.0135,0.0135,0.3345,0.336
0.0135,0.0135,0.3285,0.3305
0.0135,0.0135,0.3235,0.3275
0.013,0.013,0.318,0.3225
0.013,0.013,0.314,0.3175
0.013,0.0125,0.3085,0.3105
0.0125,0.0125,0.3045,0.3055
0.0125,0.0125,0.2965,0.2995
0.0125,0.0125,0.292,0.293
0.0125,0.0125,0.2855,0.29
0.012,0.0125,0.283,0.285
0.0115,0.012,0.2785,0.2815
0.0115,0.0115,0.2745,0.276
0.0115,0.0115,0.27,0.2725
0.0115,0.0115,0.2655,0.2675
0.011,0.0115,0.263,0.2615
0.011,0.011,0.259,0.258
0.011,0.011,0.254,0.256
0.011,0.011,0.2515,0.2535
0.0105,0.0105,0.2495,0.2485
0.0105,0.0105,0.246,0.2445
0.0105,0.0105,0.2375,0.239
0.0105,0.0105,0.2325,0.2355
0.01,0.01,0.228,0.234
0.0095,0.01,0.2245,0.2285
0.0095,0.009,0.2215,0.2245
0.009,0.009,0.217,0.2185
0.009,0.009,0.212,0.2135
0.009,0.009,0.208,0.211
0.009,0.009,0.2025,0.2055
0.009,0.009,0.2,0.2025
0.009,0.009,0.196,0.1985
0.0085,0.009,0.194,0.195
0.0085,0.0085,0.1905,0.1925
0.0085,0.0085,0.1865,0.1885
0.0085,0.0085,0.1835,0.185
0.0085,0.0085,0.1785,0.182
0.0085,0.0085,0.175,0.177
0.0085,0.0085,0.1715,0.174
0.0085,0.0085,0.1705,0.17
0.0085,0.0085,0.1665,0.166
0.008,0.008,0.1635,0.1635
0.0075,0.0075,0.1605,0.159
0.007,0.0075,0.1555,0.1555
0.007,0.007,0.1515,0.1515
0.007,0.007,0.1485,0.149
0.007,0.007,0.1445,0.1465
0.007,0.007,0.142,0.144
0.007,0.007,0.14,0.142
0.007,0.007,0.137,0.139
0.007,0.007,0.136,0.137
0.007,0.007,0.132,0.135
0.007,0.007,0.128,0.133
0.007,0.007,0.125,0.128
0.007,0.007,0.1215,0.1225
0.007,0.007,0.1175,0.117
0.007,0.007,0.113,0.115
0.0065,0.0065,0.112,0.1135
0.0065,0.0065,0.109,0.1125
0.006,0.006,0.1085,0.1105
0.006,0.006,0.1065,0.107
0.006,0.006,0.104,0.1045
0.006,0.006,0.1025,0.1045
0.006,0.006,0.0995,0.102
0.006,0.006,0.0965,0.0965
0.006,0.006,0.0935,0.094
0.006,0.006,0.0905,0.092
0.0055,0.0055,0.088,0.0895
0.0055,0.0055,0.087,0.0885
0.0055,0.0055,0.0855,0.0875
0.0055,0.0055,0.084,0.0835
0.0045,0.0045,0.0815,0.0825
0.004,0.0045,0.0815,0.08
0.004,0.004,0.0805,0.079
