freq,psd
0.0,9.047605390202269e-15
9.765625,4.06544250331254e-14
19.53125,3.2435683332855466e-14
29.296875,2.2358907322179093e-14
39.0625,2.323182634600402e-14
48.828125,2.3070027227178052e-14
58.59375,1.4335551070501526e-14
68.359375,1.6355255959605593e-14
78.125,1.7856094254524023e-14
87.890625,1.504450606251343e-14
97.65625,1.4435462150330477e-14
107.421875,1.4038510553388588e-14
117.1875,1.424086937829689e-14
126.953125,1.1952465558687973e-14
136.71875,1.278437338453848e-14
146.484375,1.1596178410284464e-14
156.25,1.021645752237413e-14
166.015625,9.442449066123184e-15
175.78125,9.054332363409931e-15
185.546875,8.033324353458306e-15
195.3125,5.400607393829375e-15
205.078125,4.684330325275853e-15
214.84375,3.6890152291638084e-15
224.609375,2.650988648742146e-15
234.375,2.2291967378840733e-15
244.140625,1.7877129479607933e-15
253.90625,1.3404722743526028e-15
263.671875,9.426148554182945e-16
273.4375,6.987916015776374e-16
283.203125,5.079865344691914e-16
292.96875,3.1506781403473117e-16
302.734375,2.754711392884165e-16
312.5,2.552269922406335e-16
322.265625,1.5777291859117313e-16
332.03125,1.4357700097821004e-16
341.796875,1.1715974185769295e-16
351.5625,9.464532722090503e-17
361.328125,7.22631801136892e-17
371.09375,5.261166267237817e-17
380.859375,3.851084223206447e-17
390.625,2.941927472957978e-17
400.390625,2.5397950278807747e-17
410.15625,2.531200718275589e-17
419.921875,1.6498967221951914e-17
429.6875,1.4826090293463788e-17
439.453125,1.2947794159835662e-17
449.21875,9.611757677097575e-18
458.984375,8.022580464111992e-18
468.75,6.004924911455323e-18
478.515625,5.0965689910130316e-18
488.28125,4.4201459034153636e-18
498.046875,5.002439669672431e-18
507.8125,3.764628120536608e-18
517.578125,3.4145886330162222e-18
527.34375,2.7150297862057153e-18
537.109375,2.268162030474689e-18
546.875,1.907945391162889e-18
556.640625,1.6093171857364644e-18
566.40625,1.401529645570355e-18
576.171875,1.3081744016742024e-18
585.9375,1.1672475468923575e-18
595.703125,1.100141090134939e-18
605.46875,8.652892645821468e-19
615.234375,7.737508637391746e-19
625.0,7.797542769317487e-19
634.765625,5.646750656770946e-19
644.53125,5.092524996910716e-19
654.296875,4.497793504439957e-19
664.0625,3.775106866302087e-19
673.828125,3.275537186402517e-19
683.59375,3.26740741788065e-19
693.359375,2.582945555748902e-19
703.125,2.479546835804702e-19
712.890625,2.3002667593696824e-19
722.65625,2.050073219166526e-19
732.421875,1.6343519706967549e-19
742.1875,1.57718729920786e-19
751.953125,1.1322752933957347e-19
761.71875,8.46778183336552e-20
771.484375,9.357828623129641e-20
781.25,8.577933820491968e-20
791.015625,8.360590587542711e-20
800.78125,8.127399965760148e-20
810.546875,7.577553599807697e-20
820.3125,6.105604509633134e-20
830.078125,5.495405879000299e-20
839.84375,5.231986695944063e-20
849.609375,4.677640118900713e-20
859.375,4.4832043023807805e-20
869.140625,4.1369530237873534e-20
878.90625,3.637866146532382e-20
888.671875,2.949053556059904e-20
898.4375,3.4171577235257525e-20
908.203125,2.7271850885938865e-20
917.96875,2.4640619477208157e-20
927.734375,1.9518027586795975e-20
937.5,2.1515637612412292e-20
947.265625,2.057771436197742e-20
957.03125,1.7655296650288604e-20
966.796875,1.442130021897137e-20
976.5625,1.2169987875689246e-20
986.328125,1.0958116719338565e-20
996.09375,1.2601359520490005e-20
1005.859375,1.119749086832013e-20
1015.625,1.081443069721818e-20
1025.390625,1.0022954226843597e-20
1035.15625,8.440062671372511e-21
1044.921875,7.603226855694914e-21
1054.6875,8.28170270834753e-21
1064.453125,6.795467609886424e-21
1074.21875,6.227578185307926e-21
1083.984375,5.427646219427245e-21
1093.75,5.025388139696944e-21
1103.515625,5.018451691572537e-21
1113.28125,3.739101530745142e-21
1123.046875,3.905004642762536e-21
1132.8125,3.9552523107362335e-21
1142.578125,3.9035429116235535e-21
1152.34375,3.2443062955377783e-21
1162.109375,3.2214473434333e-21
1171.875,2.9855680421748067e-21
1181.640625,3.1100325035953186e-21
1191.40625,2.86930634117112e-21
1201.171875,2.618205853837146e-21
1210.9375,2.412028110532625e-21
1220.703125,2.147571827648932e-21
1230.46875,2.1353098679389535e-21
1240.234375,1.844172618740451e-21
1250.0,1.902643828838828e-21
1259.765625,1.740733138543303e-21
1269.53125,1.6997080111690333e-21
1279.296875,1.460474839003248e-21
1289.0625,1.3029060139328508e-21
1298.828125,1.260003878670334e-21
1308.59375,1.2070287801654786e-21
1318.359375,1.029032937576858e-21
1328.125,1.0731417367897095e-21
1337.890625,1.1830552914678227e-21
1347.65625,1.047857930149813e-21
1357.421875,9.489892084229723e-22
1367.1875,9.273323637471473e-22
1376.953125,9.117078053448301e-22
1386.71875,7.080706556073064e-22
1396.484375,6.959226061135651e-22
1406.25,7.27349306442077e-22
1416.015625,5.502864579820249e-22
1425.78125,5.8876218770407515e-22
1435.546875,6.0065483849744e-22
1445.3125,5.507394987445016e-22
1455.078125,4.77924478831834e-22
1464.84375,3.6255286951987486e-22
1474.609375,3.535343606295566e-22
1484.375,3.5328832038953597e-22
1494.140625,3.3492691209340613e-22
1503.90625,3.8528542092222974e-22
1513.671875,3.3482442424383556e-22
1523.4375,3.0636673727175596e-22
1533.203125,3.144922101021884e-22
1542.96875,3.1330003345760537e-22
1552.734375,2.234656378692884e-22
1562.5,1.8555091118847922e-22
1572.265625,2.838720769537556e-22
1582.03125,2.309020668317366e-22
1591.796875,1.870347126366748e-22
1601.5625,1.6233762063167681e-22
1611.328125,1.7472444330178672e-22
1621.09375,1.7590211903178855e-22
1630.859375,1.8700351125122849e-22
1640.625,1.74075308802796e-22
1650.390625,1.8404568475629182e-22
1660.15625,1.79720922672361e-22
1669.921875,1.5003654404511296e-22
1679.6875,1.0929918588495497e-22
1689.453125,1.3619994024419223e-22
1699.21875,1.4190451929563113e-22
1708.984375,1.3793683480854556e-22
1718.75,1.331438249300252e-22
1728.515625,1.1592651656873542e-22
1738.28125,1.1107551973716266e-22
1748.046875,1.0429135047565544e-22
1757.8125,8.032645733230472e-23
1767.578125,9.042630028328352e-23
1777.34375,1.0210765569474175e-22
1787.109375,9.626393306317244e-23
1796.875,7.345603115296325e-23
1806.640625,7.894951547344119e-23
1816.40625,7.968158516538146e-23
1826.171875,6.859846059163418e-23
1835.9375,7.340114834755888e-23
1845.703125,6.588328630283616e-23
1855.46875,6.199867967530995e-23
1865.234375,6.715895919873922e-23
1875.0,5.793472044520358e-23
1884.765625,5.0973914068223523e-23
1894.53125,5.0674237644211177e-23
1904.296875,4.9757031080993296e-23
1914.0625,4.700169362970781e-23
1923.828125,5.199151704025448e-23
1933.59375,5.1238920422511096e-23
1943.359375,4.363404695951722e-23
1953.125,3.9746458713047327e-23
1962.890625,3.6643379158439967e-23
1972.65625,3.2998674773141037e-23
1982.421875,3.827301029355748e-23
1992.1875,3.590602917328613e-23
2001.953125,3.4198160442191444e-23
2011.71875,3.070679902108798e-23
2021.484375,2.64971408787175e-23
2031.25,3.066137696470809e-23
2041.015625,3.0195309436259586e-23
2050.78125,2.548440428271412e-23
2060.546875,2.647955023727969e-23
2070.3125,2.5071838071086666e-23
2080.078125,2.393206770267629e-23
2089.84375,2.4936317280917984e-23
2099.609375,2.3006561372863408e-23
2109.375,1.9780525136826066e-23
2119.140625,2.1334436072789758e-23
2128.90625,2.032697044213885e-23
2138.671875,1.6922551824750743e-23
2148.4375,1.699670807663218e-23
2158.203125,1.6320710937394883e-23
2167.96875,1.6878881548589073e-23
2177.734375,1.6406295085601635e-23
2187.5,1.5178793864726017e-23
2197.265625,1.3190411090484511e-23
2207.03125,1.2757061876566359e-23
2216.796875,1.3951107346757062e-23
2226.5625,1.4238332650467115e-23
2236.328125,1.3144318934436309e-23
2246.09375,1.1838692101421872e-23
2255.859375,1.2688457621407535e-23
2265.625,1.2078100851401391e-23
2275.390625,1.2882875061628338e-23
2285.15625,1.1609822677997291e-23
2294.921875,1.1378066340757743e-23
2304.6875,1.0080440123537784e-23
2314.453125,1.0607214940295347e-23
2324.21875,9.105231855259127e-24
2333.984375,9.331983341013484e-24
2343.75,7.698316816864198e-24
2353.515625,7.616799114601866e-24
2363.28125,9.514993403398137e-24
2373.046875,8.14724421477087e-24
2382.8125,7.755205550060021e-24
2392.578125,7.53021062670624e-24
2402.34375,6.2315442193032536e-24
2412.109375,6.373387846514504e-24
2421.875,6.75106948410394e-24
2431.640625,5.539280978721406e-24
2441.40625,6.589222561769605e-24
2451.171875,6.416965876772732e-24
2460.9375,6.047999469169499e-24
2470.703125,6.021293492751784e-24
2480.46875,5.464111516670511e-24
2490.234375,5.708814269202389e-24
2500.0,5.509648609122319e-24
2509.765625,5.609067419864501e-24
2519.53125,4.431048329917055e-24
2529.296875,3.540148332222166e-24
2539.0625,4.564536457413539e-24
2548.828125,4.069841084566478e-24
2558.59375,4.482895281023085e-24
2568.359375,4.782857943138786e-24
2578.125,3.7193424162088405e-24
2587.890625,3.866061287653853e-24
2597.65625,3.3653027596497404e-24
2607.421875,3.306874647375144e-24
2617.1875,3.660991565814208e-24
