ibo,capacity,rmse
20.0,11.688305785163234,1500.0
18.214285714285715,12.26686955678958,1493.4230813804909
16.428571428571427,12.838248341837518,1494.5902448497382
14.642857142857142,13.398915074276244,1500.0
12.857142857142858,13.943770150487667,1485.8709567119213
11.071428571428571,14.465569055297264,1500.0
9.285714285714285,14.954310942038854,1500.0
7.5,15.396765214735892,1472.294128223026
5.7142857142857135,15.776493710514597,1500.0
3.928571428571427,16.074870645906184,1485.8709567119213
2.1428571428571423,16.273522438949836,1500.0
0.35714285714285765,16.358014143058625,1486.779237143161
-1.4285714285714306,16.321601988723163,1485.3029993910334
-3.2142857142857153,16.16723875102077,1486.287320809809
-5.0,15.90667631826124,1489.5007552868176
