pf_id,pd_id,pf_prop,pd_prop,pf_naive,pd_naive,pf_ed,pd_ed
0.9993333333333333,1.0,0.9993333333333333,1.0,0.9993333333333333,1.0,0.9993333333333333,1.0
0.7766666666666666,1.0,0.79,0.9933333333333333,0.8033333333333333,0.9886666666666667,0.9993333333333333,0.9993333333333333
0.6846666666666666,1.0,0.696,0.99,0.7206666666666667,0.986,0.9993333333333333,0.9993333333333333
0.626,0.9993333333333333,0.628,0.986,0.656,0.9826666666666667,0.9993333333333333,0.9993333333333333
0.5733333333333334,0.9986666666666667,0.5746666666666667,0.984,0.598,0.976,0.9993333333333333,0.9993333333333333
0.5373333333333333,0.998,0.5366666666666666,0.9806666666666667,0.554,0.9733333333333334,0.9993333333333333,0.9993333333333333
0.494,0.9973333333333333,0.49266666666666664,0.9793333333333333,0.518,0.9706666666666667,0.9993333333333333,0.9993333333333333
0.46066666666666667,0.9966666666666667,0.452,0.9773333333333334,0.49333333333333335,0.9673333333333334,0.9993333333333333,0.9993333333333333
0.428,0.9953333333333333,0.41333333333333333,0.9746666666666667,0.464,0.9626666666666667,0.9993333333333333,0.9993333333333333
0.39866666666666667,0.994,0.38,0.968,0.44066666666666665,0.9593333333333334,0.9993333333333333,0.9993333333333333
0.37866666666666665,0.9933333333333333,0.3566666666666667,0.966,0.426,0.9573333333333334,0.9993333333333333,0.9993333333333333
0.3606666666666667,0.9933333333333333,0.336,0.964,0.4033333333333333,0.952,0.9993333333333333,0.9993333333333333
0.3433333333333333,0.9926666666666667,0.31733333333333336,0.9606666666666667,0.386,0.9466666666666667,0.9993333333333333,0.9993333333333333
0.326,0.9913333333333333,0.3006666666666667,0.958,0.36333333333333334,0.9433333333333334,0.9993333333333333,0.9993333333333333
0.3006666666666667,0.988,0.2833333333333333,0.956,0.3446666666666667,0.9386666666666666,0.9993333333333333,0.9993333333333333
0.2826666666666667,0.988,0.26666666666666666,0.954,0.3293333333333333,0.9366666666666666,0.9993333333333333,0.9993333333333333
0.264,0.986,0.256,0.948,0.316,0.9326666666666666,0.9993333333333333,0.9993333333333333
0.24466666666666667,0.986,0.24333333333333335,0.9453333333333334,0.3,0.926,0.9993333333333333,0.9993333333333333
0.23,0.986,0.22866666666666666,0.9433333333333334,0.284,0.9193333333333333,0.9993333333333333,0.9993333333333333
0.21533333333333332,0.9853333333333333,0.20933333333333334,0.9413333333333334,0.2693333333333333,0.9133333333333333,0.9993333333333333,0.9993333333333333
0.20333333333333334,0.9826666666666667,0.19533333333333333,0.936,0.256,0.908,0.9993333333333333,0.9993333333333333
0.19066666666666668,0.98,0.18733333333333332,0.932,0.24733333333333332,0.9026666666666666,0.9993333333333333,0.9993333333333333
0.18066666666666667,0.9793333333333333,0.176,0.9266666666666666,0.23866666666666667,0.9,0.9993333333333333,0.9993333333333333
0.17333333333333334,0.9786666666666667,0.16666666666666666,0.92,0.22933333333333333,0.8906666666666667,0.9993333333333333,0.9993333333333333
0.16266666666666665,0.9773333333333334,0.156,0.9146666666666666,0.21666666666666667,0.884,0.9993333333333333,0.9993333333333333
0.15333333333333332,0.976,0.14333333333333334,0.9086666666666666,0.20333333333333334,0.8806666666666667,0.9993333333333333,0.9993333333333333
0.14733333333333334,0.9733333333333334,0.13533333333333333,0.9046666666666666,0.19666666666666666,0.8773333333333333,0.9993333333333333,0.9993333333333333
0.13733333333333334,0.9693333333333334,0.12666666666666668,0.896,0.18733333333333332,0.8733333333333333,0.9993333333333333,0.9993333333333333
0.128,0.966,0.12066666666666667,0.8873333333333333,0.182,0.8693333333333333,0.9993333333333333,0.9993333333333333
0.124,0.9626666666666667,0.11266666666666666,0.876,0.17466666666666666,0.8633333333333333,0.9993333333333333,0.9993333333333333
0.118,0.9613333333333334,0.10866666666666666,0.87,0.164,0.856,0.9993333333333333,0.9993333333333333
0.114,0.9566666666666667,0.10533333333333333,0.8673333333333333,0.15666666666666668,0.8513333333333334,0.9993333333333333,0.9993333333333333
0.11,0.954,0.09866666666666667,0.8633333333333333,0.14933333333333335,0.844,0.9993333333333333,0.9993333333333333
0.10533333333333333,0.9533333333333334,0.09333333333333334,0.8586666666666667,0.14066666666666666,0.8366666666666667,0.9993333333333333,0.9993333333333333
0.09933333333333333,0.9533333333333334,0.08933333333333333,0.856,0.13333333333333333,0.8353333333333334,0.9993333333333333,0.9993333333333333
0.092,0.9493333333333334,0.084,0.8493333333333334,0.13,0.834,0.9986666666666667,0.9993333333333333
0.08733333333333333,0.9446666666666667,0.08266666666666667,0.8446666666666667,0.12666666666666668,0.826,0.9986666666666667,0.9993333333333333
0.08533333333333333,0.942,0.078,0.8393333333333334,0.12,0.8206666666666667,0.998,0.9986666666666667
0.08133333333333333,0.94,0.07466666666666667,0.834,0.116,0.8126666666666666,0.9973333333333333,0.998
0.07733333333333334,0.9373333333333334,0.072,0.8313333333333334,0.11133333333333334,0.8046666666666666,0.9973333333333333,0.998
0.07133333333333333,0.9346666666666666,0.06933333333333333,0.8266666666666667,0.106,0.796,0.9973333333333333,0.998
0.06933333333333333,0.9326666666666666,0.06533333333333333,0.82,0.09933333333333333,0.7926666666666666,0.9966666666666667,0.998
0.06533333333333333,0.9306666666666666,0.062,0.8173333333333334,0.09266666666666666,0.7886666666666666,0.9966666666666667,0.998
0.06,0.926,0.06066666666666667,0.808,0.08866666666666667,0.7826666666666666,0.9966666666666667,0.998
0.056,0.9226666666666666,0.06,0.8006666666666666,0.08533333333333333,0.7773333333333333,0.9966666666666667,0.998
