snr,rmse_t_ideal,rmse_t_hw
20.0,0.002648072695376772,0.0030181141462840666
25.0,0.0027373027782837617,0.0030440386002808834
30.0,0.0027648566870635445,0.003109267035814068
35.0,0.00276513100955452,0.0031542408753930003
40.0,0.00276513100955452,0.0032885274820198783
45.0,0.002765844626872594,0.0033424694463824196
50.0,0.002721164732242427,0.003297155061564439
55.0,0.002721053839967155,0.0033737310947969754
60.0,0.00278121178625433,0.003434761054280195
65.0,0.0025938726838455276,0.003433264263059283
70.0,0.002013304249238053,0.003443335446917712
75.0,0.0013875710792604465,0.003445706241106459
80.0,0.0008726668894830374,0.003441983221923082
