snr,rmse_ideal,rmse_hw,crlb
0.0,259.8918430527228,280.52069608987637,2338.8360952564008
5.0,273.27754037020134,282.941285015425,1315.2241892095058
10.0,268.9189527295037,264.9692274122365,739.6049134824759
15.0,288.05673938555935,265.20312304015397,415.91040716502897
20.0,305.14248569026097,280.1397775025318,233.88360952564005
25.0,308.4277975850499,304.5965856997469,131.52241892095057
30.0,291.0439364627993,307.5470890497439,73.96049134824759
35.0,286.1856377224669,319.91624502799544,41.591040716502896
40.0,264.6372641757688,292.5040968579131,23.388360952564003
45.0,221.2550201056774,302.7182430061218,13.152241892095057
50.0,112.53771195548141,286.0535929459424,7.396049134824759
55.0,8.219662016627069,290.5926625088094,4.159104071650289
60.0,1.3901938542267451,287.79527714433635,2.3388360952564007
