space,input,output
0.0,1.0,1.0
0.002004008016032064,1.0,1.0
0.004008016032064128,1.0,1.0
0.0060120240480961915,1.0,1.0
0.008016032064128256,1.0,1.0
0.01002004008016032,1.0,1.0
0.012024048096192383,1.0,1.0
0.014028056112224447,1.0,1.0
0.01603206412825651,1.0,1.0
0.018036072144288574,1.0,1.0
0.02004008016032064,1.0,1.0
0.022044088176352703,1.0,1.0
0.024048096192384766,1.0,1.0
0.026052104208416832,1.0,1.0
0.028056112224448895,1.0,1.0
0.03006012024048096,1.0,1.0
0.03206412825651302,1.0,1.0
0.03406813627254509,1.0,1.0
0.03607214428857715,1.0,1.0
0.038076152304609215,1.0,1.0
0.04008016032064128,1.0,1.0
0.04208416833667334,1.0,1.0
0.044088176352705406,1.0,1.0
0.04609218436873747,1.0,1.0
0.04809619238476953,1.0,1.0
0.0501002004008016,1.0,1.0
0.052104208416833664,1.0,1.0
0.05410821643286573,1.0,1.0
0.05611222444889779,1.0,1.0
0.058116232464929855,1.0,1.0
0.06012024048096192,1.0,1.0
0.06212424849699398,1.0,1.0
0.06412825651302605,1.0,1.0
0.06613226452905811,1.0,1.0
0.06813627254509018,1.0,1.0
0.07014028056112225,1.0,1.0
0.0721442885771543,1.0,1.0
0.07414829659318636,1.0,1.0
0.07615230460921843,1.0,1.0
0.0781563126252505,0.9999999999999999,1.0
0.08016032064128256,0.9999999999999999,1.0
0.08216432865731463,0.9999999999999999,1.0
0.08416833667334668,0.9999999999999998,1.0
0.08617234468937875,0.9999999999999998,1.0
0.08817635270541081,0.9999999999999997,0.9999999999999998
0.09018036072144288,0.9999999999999994,0.9999999999999997
0.09218436873747494,0.9999999999999993,0.9999999999999997
0.09418837675350701,0.999999999999999,0.9999999999999991
0.09619238476953906,0.9999999999999987,0.9999999999999991
0.09819639278557113,0.9999999999999981,0.9999999999999986
0.1002004008016032,0.9999999999999973,0.9999999999999978
0.10220440881763526,0.9999999999999964,0.9999999999999972
0.10420841683366733,0.999999999999995,0.9999999999999959
0.1062124248496994,0.9999999999999932,0.9999999999999944
0.10821643286573146,0.9999999999999907,0.9999999999999925
0.11022044088176351,0.9999999999999872,0.9999999999999897
0.11222444889779558,0.9999999999999826,0.9999999999999858
0.11422845691382764,0.9999999999999764,0.9999999999999808
0.11623246492985971,0.9999999999999677,0.9999999999999736
0.11823647294589178,0.9999999999999561,0.9999999999999644
0.12024048096192384,0.9999999999999405,0.9999999999999515
0.1222444889779559,0.9999999999999194,0.9999999999999339
0.12424849699398796,0.999999999999891,0.9999999999999108
0.12625250501002003,0.9999999999998528,0.9999999999998797
0.1282565130260521,0.9999999999998015,0.9999999999998376
0.13026052104208416,0.9999999999997329,0.9999999999997815
0.13226452905811623,0.999999999999641,0.9999999999997063
0.1342685370741483,0.9999999999995183,0.9999999999996059
0.13627254509018036,0.9999999999993546,0.999999999999472
0.13827655310621242,0.9999999999991369,0.9999999999992939
0.1402805611222445,0.9999999999988475,0.999999999999057
0.14228456913827653,0.9999999999984635,0.9999999999987429
0.1442885771543086,0.9999999999979549,0.9999999999983268
0.14629258517034066,0.9999999999972823,0.9999999999977764
0.14829659318637273,0.9999999999963942,0.9999999999970497
0.1503006012024048,0.9999999999952238,0.9999999999960921
0.15230460921843686,0.9999999999936835,0.9999999999948319
0.15430861723446893,0.9999999999916599,0.9999999999931763
0.156312625250501,0.9999999999890057,0.9999999999910046
0.15831663326653306,0.99999999998553,0.999999999988161
0.16032064128256512,0.9999999999809861,0.9999999999844432
0.1623246492985972,0.9999999999750555,0.9999999999795911
0.16432865731462926,0.9999999999673275,0.9999999999732679
0.16633266533066132,0.9999999999572741,0.9999999999650424
0.16833667334669336,0.999999999944217,0.9999999999543595
0.17034068136272543,0.9999999999272863,0.9999999999405069
0.1723446893787575,0.9999999999053693,0.9999999999225749
0.17434869739478956,0.9999999998770437,0.9999999998993996
0.17635270541082163,0.999999999840496,0.999999999869497
0.1783567134268537,0.9999999997934169,0.9999999998309775
0.18036072144288576,0.9999999997328716,0.9999999997814403
0.18236472945891782,0.999999999655136,0.9999999997178384
0.1843687374749499,0.9999999995554936,0.9999999996363129
0.18637274549098196,0.999999999427981,0.9999999995319846
0.18837675350701402,0.9999999992650712,0.9999999993986946
0.1903807615230461,0.9999999990572807,0.9999999992286843
0.19238476953907813,0.9999999987926813,0.9999999990121936
0.1943887775551102,0.9999999984562971,0.9999999987369703
0.19639278557114226,0.9999999980293571,0.999999998387656
0.19839679358717432,0.9999999974883771,0.999999997945036
0.2004008016032064,0.9999999968040257,0.9999999973851119
0.20240480961923846,0.9999999959397341,0.9999999966779642
0.20440881763527052,0.9999999948499908,0.9999999957863561
