pfa_ideal,pd_ideal,pfa_prop,pd_prop,pfa_naive,pd_naive,pfa_ed,pd_ed
0.0,0.004,0.0,0.012,0.0,0.018,0.006,0.02
0.0,0.004,0.0,0.012,0.0,0.018,0.004,0.018
0.0,0.004,0.0,0.012,0.0,0.016,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.016,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.016,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.016,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.014,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.014,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.014,0.004,0.016
0.0,0.004,0.0,0.012,0.0,0.014,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.014,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.016
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.014
0.0,0.004,0.0,0.012,0.0,0.012,0.002,0.014
0.0,0.004,0.0,0.01,0.0,0.012,0.002,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.012,0.0,0.014
0.0,0.004,0.0,0.008,0.0,0.01,0.0,0.014
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.014
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.014
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.014
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.01
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.008
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.008
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.008
0.0,0.004,0.0,0.006,0.0,0.01,0.0,0.008
0.0,0.004,0.0,0.004,0.0,0.01,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.01,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.01,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.008,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.004,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.006,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.006
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.004
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.004,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.004,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.002,0.0,0.002,0.0,0.002,0.0,0.002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
