pfa_ideal,pd_ideal,pfa_prop,pd_prop,pfa_naive,pd_naive,pfa_ed,pd_ed
0.0,0.956,0.002,0.932,0.002,0.812,0.98,0.984
0.0,0.954,0.002,0.926,0.002,0.81,0.98,0.984
0.0,0.95,0.0,0.924,0.002,0.8,0.978,0.984
0.0,0.948,0.0,0.92,0.002,0.8,0.978,0.984
0.0,0.948,0.0,0.916,0.002,0.798,0.976,0.984
0.0,0.946,0.0,0.914,0.002,0.796,0.976,0.982
0.0,0.944,0.0,0.912,0.002,0.794,0.976,0.98
0.0,0.942,0.0,0.906,0.002,0.788,0.974,0.98
0.0,0.942,0.0,0.906,0.002,0.786,0.974,0.978
0.0,0.942,0.0,0.904,0.002,0.784,0.974,0.976
0.0,0.94,0.0,0.904,0.002,0.778,0.974,0.976
0.0,0.938,0.0,0.898,0.002,0.774,0.968,0.972
0.0,0.936,0.0,0.894,0.002,0.762,0.968,0.968
0.0,0.932,0.0,0.892,0.002,0.762,0.966,0.968
0.0,0.932,0.0,0.892,0.002,0.75,0.966,0.966
0.0,0.932,0.0,0.888,0.002,0.738,0.966,0.966
0.0,0.93,0.0,0.88,0.002,0.734,0.964,0.964
0.0,0.92,0.0,0.874,0.002,0.734,0.964,0.964
0.0,0.92,0.0,0.872,0.002,0.732,0.964,0.964
0.0,0.918,0.0,0.866,0.002,0.726,0.964,0.964
0.0,0.918,0.0,0.862,0.002,0.722,0.964,0.96
0.0,0.912,0.0,0.86,0.002,0.722,0.964,0.96
0.0,0.912,0.0,0.854,0.002,0.72,0.962,0.96
0.0,0.912,0.0,0.852,0.002,0.71,0.962,0.96
0.0,0.91,0.0,0.846,0.002,0.704,0.96,0.958
0.0,0.91,0.0,0.844,0.002,0.7,0.96,0.956
0.0,0.906,0.0,0.84,0.002,0.7,0.96,0.956
0.0,0.906,0.0,0.836,0.002,0.694,0.956,0.956
0.0,0.904,0.0,0.836,0.002,0.69,0.954,0.956
0.0,0.904,0.0,0.83,0.002,0.69,0.954,0.956
0.0,0.898,0.0,0.824,0.002,0.682,0.952,0.956
0.0,0.896,0.0,0.82,0.002,0.68,0.946,0.954
0.0,0.89,0.0,0.816,0.002,0.674,0.946,0.952
0.0,0.888,0.0,0.814,0.002,0.666,0.944,0.952
0.0,0.886,0.0,0.814,0.002,0.662,0.944,0.95
0.0,0.886,0.0,0.808,0.002,0.658,0.942,0.95
0.0,0.884,0.0,0.806,0.002,0.652,0.942,0.95
0.0,0.872,0.0,0.8,0.002,0.642,0.94,0.948
0.0,0.87,0.0,0.796,0.002,0.64,0.938,0.948
